,deputy_name,deputy_state,political_party,refund_description,company_name,company_id,refund_date,refund_value,party_pg,party_en,party_tse,party_regdate,party_nmembers,party_ideology1,party_ideology2,party_ideology3,party_ideology4,party_position
310220,SÉRGIO MORAES,RS,PTB,FLIGHT TICKET,Cia Aérea - GOL,7575651000160.0,2016-05-16T00:00:00,-1068.58,Partido Trabalhista Brasileiro,Brazilian Labour Party ,14.0,03-11-81,1191746.0,Centrism,Populism,Federalism,Nationalism,Centre
164700,RONALDO FONSECA,DF,PROS,PHONE COSTS,TELEFÔNICA BRASIL S.A.,2558157000160.0,2016-02-03T00:00:00,1234.38,Partido Republicano da Ordem Social,Republican Party of the Social Order,90.0,24-09-13,85599.0,Economic liberalism, Social conservatism, Republicanism,,Centreright
219922,DANIEL COELHO,PE,PSDB,DISSEMINATION OF PARLIAMENTARY ACTIVITY,LEANX DO BRASIL PROCESSAMENTO DE DADOS LTDA-ME,15513417000100.0,2016-04-18T00:00:00,5000.0,Partido da Social Democracia Brasileira,Brazilian Social Democracy Party,45.0,24-08-88,1443769.0,Social democracy,Social liberalism,Parliamentary system,Parliamentarism,Centreleft
20820,JÔ MORAES,MG,PCdoB,"TAXI, PARKING AND TOLL COSTS",COOPERTAXI,8046163000120.0,2016-06-28T00:00:00,20.0,Partido Comunista do Brasil,Communist Party of Brazil,65.0,23-06-68,389407.0,Communism,Marxism,Leninism,,Farleft
288635,MARCON,RS,PT,FLIGHT TICKET,Cia Aérea - TAM,2012862000160.0,2016-08-09T00:00:00,130.0,Partido dos Trabalhadores,Workers' Party ,13.0,11-02-82,1589260.0,Democratic socialism,,,,Centreleft
63078,BALEIA ROSSI,SP,PMDB,OFFICE MAINTENANCE,COMPANHIA PAULISTA DE FORÇA E LUZ,33050196000200.0,2016-07-20T00:00:00,276.44,Partido do Movimento Democrático Brasileiro,Brazilian Democratic Movement Party ,15.0,30-06-81,2398324.0,Centrism,Populism,Big tent politics,Syncretic politics,Centre
51823,CARLOS MARUN,MS,PMDB,PHONE COSTS,CELULAR FUNCIONAL,,2016-12-14T00:00:00,298.63,Partido do Movimento Democrático Brasileiro,Brazilian Democratic Movement Party ,15.0,30-06-81,2398324.0,Centrism,Populism,Big tent politics,Syncretic politics,Centre
136090,LUIZ NISHIMORI,PR,PR,FUEL COSTS,POSTO HORTO FLORESTAL LTDA.,7953325000140.0,2016-06-15T00:00:00,2574.92,Partido da República,Party of the Republic,22.0,19-12-06,796764.0,Nationalism,Liberal conservatism,,,Centreright
267155,CARLOS ZARATTINI,SP,PT,PHONE COSTS,CLARO S/A,40432544000100.0,2016-09-02T00:00:00,31.89,Partido dos Trabalhadores,Workers' Party ,13.0,11-02-82,1589260.0,Democratic socialism,,,,Centreleft
182783,JOSE STÉDILE,RS,PSB,"TAXI, PARKING AND TOLL COSTS",EMPRESA CONCESSIONÁRIA DE RODOVIAS DO SUL S.A,2511048000190.0,2016-10-05T00:00:00,9.7,Partido Socialista Brasileiro,Brazilian Socialist Party,40.0,01-07-88,644663.0,Social democracy,Democratic socialism,,,Centreleft
204255,INDIO DA COSTA,RJ,PSD,DISSEMINATION OF PARLIAMENTARY ACTIVITY,OUTRANGE CRIATIVIDADE INTELIGENTE LTDA EPP,21382501000200.0,2016-03-01T00:00:00,8600.0,Partido Social Democrático,Social Democratic Party,55.0,27-09-11,311706.0,Centrism,Big tent politics,Syncretic politics,Economic liberalism,Centre/Centreright
94676,ROBERTO BALESTRA,GO,PP,SECURITY SERVICE,vigzul Instalação e Montagem de Alarmes,17097616000100.0,2016-10-03T00:00:00,176.0,Partido Progressista,Progressive Party,11.0,16-11-95,1436720.0,Liberal conservatism,Populism,,,Centreright
44133,PASTOR EURICO,PE,PHS,PHONE COSTS,TIM CELULAR S.A,4206050008250.0,2016-06-07T00:00:00,688.22,Partido Humanista da Soliedariedade,Humanist Party of Solidarity ,31.0,20-03-97,201673.0,Distributism,Humanism,Christian democracy,,Centre
40894,DR. JORGE SILVA,ES,PHS,MAIL COSTS,CORREIOS - SEDEX CONVENCIONAL,,2016-02-02T14:09:42.150,38.19,Partido Humanista da Soliedariedade,Humanist Party of Solidarity ,31.0,20-03-97,201673.0,Distributism,Humanism,Christian democracy,,Centre
291301,SÁGUAS MORAES,MT,PT,GROUND VEHICLE RENT,AUTOLOCADORA BOULEVARD LTDA,2608436000190.0,2016-10-04T00:00:00,6000.0,Partido dos Trabalhadores,Workers' Party ,13.0,11-02-82,1589260.0,Democratic socialism,,,,Centreleft
122056,RAUL JUNGMANN,PE,PPS,FLIGHT TICKET,Cia Aérea - TAM,2012862000160.0,2016-05-03T00:00:00,233.58,Partido Popular Socialista,Socialist People's Party ,23.0,19-03-92,479886.0,Social democracy,Social liberalism,,,Centreleft
183651,PAULO FOLETTO,ES,PSB,MAIL COSTS,CORREIOS - CARTA COMERCIAL,,2016-02-04T17:24:06.083,1.5,Partido Socialista Brasileiro,Brazilian Socialist Party,40.0,01-07-88,644663.0,Social democracy,Democratic socialism,,,Centreleft
84146,FÁBIO RAMALHO,MG,PMDB,FLIGHT TICKET,Cia Aérea - AZUL,9296295000160.0,2016-07-08T00:00:00,1004.63,Partido do Movimento Democrático Brasileiro,Brazilian Democratic Movement Party ,15.0,30-06-81,2398324.0,Centrism,Populism,Big tent politics,Syncretic politics,Centre
182627,CÉSAR MESSIAS,AC,PSB,FUEL COSTS,Posto Village LTDA.,6906483000170.0,2016-05-21T00:00:00,1677.18,Partido Socialista Brasileiro,Brazilian Socialist Party,40.0,01-07-88,644663.0,Social democracy,Democratic socialism,,,Centreleft
285351,ZECA DO PT,MS,PT,HOTEL COSTS,VILLA VERDE HOTEL,2966463000140.0,2016-07-16T00:00:00,124.5,Partido dos Trabalhadores,Workers' Party ,13.0,11-02-82,1589260.0,Democratic socialism,,,,Centreleft
40187,JUNIOR MARRECA,MA,PEN,PHONE COSTS,RAMAL,,,124.45,Partido Ecológico Nacional,National Ecologic Party,51.0,19-06-12,68687.0,Green conservatism, Humanism,,,Centreright
82621,SARAIVA FELIPE,MG,PMDB,FLIGHT TICKET,Cia Aérea - AVIANCA,2575829000150.0,2016-03-03T00:00:00,514.83,Partido do Movimento Democrático Brasileiro,Brazilian Democratic Movement Party ,15.0,30-06-81,2398324.0,Centrism,Populism,Big tent politics,Syncretic politics,Centre
51979,CARLOS MARUN,MS,PMDB,FLIGHT TICKET,Cia Aérea - AVIANCA,2575829000150.0,2016-05-24T00:00:00,890.73,Partido do Movimento Democrático Brasileiro,Brazilian Democratic Movement Party ,15.0,30-06-81,2398324.0,Centrism,Populism,Big tent politics,Syncretic politics,Centre
223055,GERALDO RESENDE,MS,PSDB,FLIGHT TICKET,Cia Aérea - AVIANCA,2575829000150.0,2016-07-22T00:00:00,60.0,Partido da Social Democracia Brasileira,Brazilian Social Democracy Party,45.0,24-08-88,1443769.0,Social democracy,Social liberalism,Parliamentary system,Parliamentarism,Centreleft
186759,JOÃO FERNANDO COUTINHO,PE,PSB,MAIL COSTS,CORREIOS - SEDEX 10,,2016-10-04T16:26:17.207,278.2,Partido Socialista Brasileiro,Brazilian Socialist Party,40.0,01-07-88,644663.0,Social democracy,Democratic socialism,,,Centreleft
10827,FRANCISCO FLORIANO,RJ,DEM,"TAXI, PARKING AND TOLL COSTS",EMPRESA GREEN PARK,279065000118.0,2016-01-18T00:00:00,20.0,Democratas,Democrats,25.0,11-09-86,1095712.0,Economic liberalism,Liberal conservatism,Christian democracy,,Rightwing
85259,MOSES RODRIGUES,CE,PMDB,FLIGHT TICKET,Cia Aérea - TAM,2012862000160.0,2016-07-01T00:00:00,1652.63,Partido do Movimento Democrático Brasileiro,Brazilian Democratic Movement Party ,15.0,30-06-81,2398324.0,Centrism,Populism,Big tent politics,Syncretic politics,Centre
308612,LUIZ CARLOS BUSATO,RS,PTB,FLIGHT TICKET,Cia Aérea - TAM,2012862000160.0,2016-11-03T00:00:00,2026.68,Partido Trabalhista Brasileiro,Brazilian Labour Party ,14.0,03-11-81,1191746.0,Centrism,Populism,Federalism,Nationalism,Centre
41644,DIEGO GARCIA,PR,PHS,"TAXI, PARKING AND TOLL COSTS",CCR-RODONORTE,2221531000560.0,2016-07-04T00:00:00,7.6,Partido Humanista da Soliedariedade,Humanist Party of Solidarity ,31.0,20-03-97,201673.0,Distributism,Humanism,Christian democracy,,Centre
93618,BETO SALAME,PA,PP,FLIGHT TICKET,Cia Aérea - GOL,7575651000160.0,2016-11-14T00:00:00,220.0,Partido Progressista,Progressive Party,11.0,16-11-95,1436720.0,Liberal conservatism,Populism,,,Centreright
163100,ROSANGELA GOMES,RJ,PRB,FLIGHT TICKET,Cia Aérea - TAM,2012862000160.0,2016-06-03T00:00:00,321.72,Partido Republicano Brasileiro,Brazilian Republican Party,10.0,25-08-05,383684.0,Christian democracy,Social conservatism,,,Centreright
233490,NELSON MARCHEZAN JUNIOR,RS,PSDB,OFFICE MAINTENANCE,CEEE - COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA,8467115000100.0,2016-11-25T00:00:00,413.53,Partido da Social Democracia Brasileira,Brazilian Social Democracy Party,45.0,24-08-88,1443769.0,Social democracy,Social liberalism,Parliamentary system,Parliamentarism,Centreleft
44742,GIVALDO CARIMBÃO,AL,PHS,FLIGHT TICKET,Cia Aérea - TAM,2012862000160.0,2016-03-16T00:00:00,-225.78,Partido Humanista da Soliedariedade,Humanist Party of Solidarity ,31.0,20-03-97,201673.0,Distributism,Humanism,Christian democracy,,Centre
218874,CARLOS SAMPAIO,SP,PSDB,FLIGHT TICKET,Cia Aérea - AZUL,9296295000160.0,2016-06-07T00:00:00,200.0,Partido da Social Democracia Brasileira,Brazilian Social Democracy Party,45.0,24-08-88,1443769.0,Social democracy,Social liberalism,Parliamentary system,Parliamentarism,Centreleft
53295,SILAS BRASILEIRO,MG,PMDB,PHONE COSTS,TELEMAR NORTE LESTE S/A,5423963016390.0,2016-03-15T00:00:00,324.25,Partido do Movimento Democrático Brasileiro,Brazilian Democratic Movement Party ,15.0,30-06-81,2398324.0,Centrism,Populism,Big tent politics,Syncretic politics,Centre
220021,DANIEL COELHO,PE,PSDB,PHONE COSTS,CLARO NET,40432544044000.0,2016-02-19T00:00:00,263.13,Partido da Social Democracia Brasileira,Brazilian Social Democracy Party,45.0,24-08-88,1443769.0,Social democracy,Social liberalism,Parliamentary system,Parliamentarism,Centreleft
203078,JAIME MARTINS,MG,PSD,FUEL COSTS,RAJA AUTO POSTO SERVIÇO LTDA,3400469000110.0,2016-03-11T00:00:00,172.91,Partido Social Democrático,Social Democratic Party,55.0,27-09-11,311706.0,Centrism,Big tent politics,Syncretic politics,Economic liberalism,Centre/Centreright
314621,DR. SINVAL MALHEIROS,SP,PTN,OFFICE MAINTENANCE,AGJUNIOR PAPELARIA CONV. E COPIADORA LTDA - ME,7051232000120.0,2016-11-25T00:00:00,446.75,Partido Trabalhista Nacional,National Labour Party ,19.0,02-10-97,158777.0,Labour movement,Populism,,,Centre
7915,ABEL MESQUITA JR.,RR,DEM,FLIGHT TICKET,Cia Aérea - TAM,2012862000160.0,2016-04-12T00:00:00,24.0,Democratas,Democrats,25.0,11-09-86,1095712.0,Economic liberalism,Liberal conservatism,Christian democracy,,Rightwing
11435,MENDONÇA FILHO,PE,DEM,PHONE COSTS,RAMAL,,,585.43,Democratas,Democrats,25.0,11-09-86,1095712.0,Economic liberalism,Liberal conservatism,Christian democracy,,Rightwing
61774,DARCÍSIO PERONDI,RS,PMDB,PHONE COSTS,CELULAR FUNCIONAL,,2016-04-14T00:00:00,283.17,Partido do Movimento Democrático Brasileiro,Brazilian Democratic Movement Party ,15.0,30-06-81,2398324.0,Centrism,Populism,Big tent politics,Syncretic politics,Centre
159291,LINCOLN PORTELA,MG,PRB,OFFICE MAINTENANCE,CLARO S/A,40432544011300.0,2016-04-27T00:00:00,159.06,Partido Republicano Brasileiro,Brazilian Republican Party,10.0,25-08-05,383684.0,Christian democracy,Social conservatism,,,Centreright
1835,ONYX LORENZONI,RS,DEM,FLIGHT TICKET,Cia Aérea - AZUL,9296295000160.0,2016-10-17T00:00:00,1107.58,Democratas,Democrats,25.0,11-09-86,1095712.0,Economic liberalism,Liberal conservatism,Christian democracy,,Rightwing
215287,BONIFÁCIO DE ANDRADA,MG,PSDB,PHONE COSTS,CELULAR FUNCIONAL,,2016-06-13T00:00:00,33.78,Partido da Social Democracia Brasileira,Brazilian Social Democracy Party,45.0,24-08-88,1443769.0,Social democracy,Social liberalism,Parliamentary system,Parliamentarism,Centreleft
136836,ALEXANDRE VALLE,RJ,PR,FLIGHT TICKET,Cia Aérea - TAM,2012862000160.0,2016-10-06T00:00:00,130.0,Partido da República,Party of the Republic,22.0,19-12-06,796764.0,Nationalism,Liberal conservatism,,,Centreright
337548,LAUDIVIO CARVALHO,MG,SD,MEAL COSTS,ASA GAÚCHA RESTAURANTE LTDA ME,8488305000100.0,2016-08-02T00:00:00,40.44,Solidariedade,Solidarity ,77.0,24-09-13,161914.0,Labour movement,Humanist Movement,,,Centre
73044,JOÃO ARRUDA,PR,PMDB,FLIGHT TICKET,Cia Aérea - AVIANCA,2575829000150.0,2016-07-14T00:00:00,452.68,Partido do Movimento Democrático Brasileiro,Brazilian Democratic Movement Party ,15.0,30-06-81,2398324.0,Centrism,Populism,Big tent politics,Syncretic politics,Centre
246774,BRUNA FURLAN,SP,PSDB,FLIGHT TICKET,Cia Aérea - GOL,7575651000160.0,2016-04-04T00:00:00,20.0,Partido da Social Democracia Brasileira,Brazilian Social Democracy Party,45.0,24-08-88,1443769.0,Social democracy,Social liberalism,Parliamentary system,Parliamentarism,Centreleft
63080,BALEIA ROSSI,SP,PMDB,OFFICE MAINTENANCE,COMPANHIA PAULISTA DE FORÇA E LUZ,33050196000200.0,2016-09-15T00:00:00,336.46,Partido do Movimento Democrático Brasileiro,Brazilian Democratic Movement Party ,15.0,30-06-81,2398324.0,Centrism,Populism,Big tent politics,Syncretic politics,Centre
174330,TEREZA CRISTINA,MS,PSB,GROUND VEHICLE RENT,MARCHIORI E MARCHIORI LTDA ME,9400977000170.0,2016-11-01T00:00:00,7800.0,Partido Socialista Brasileiro,Brazilian Socialist Party,40.0,01-07-88,644663.0,Social democracy,Democratic socialism,,,Centreleft
45755,WELITON PRADO,MG,PMB,FLIGHT TICKET,Cia Aérea - GOL,7575651000160.0,2016-09-09T00:00:00,1341.66,Partido da Mulher Brasileira,Party of the Brazilian Women,35.0,29-09-15,27027.0,Women's rights,,,,Centreleft
107810,BETO ROSADO,RN,PP,FLIGHT TICKET,Cia Aérea - TAM,2012862000160.0,2016-06-07T00:00:00,180.9,Partido Progressista,Progressive Party,11.0,16-11-95,1436720.0,Liberal conservatism,Populism,,,Centreright
107894,CACÁ LEÃO,BA,PP,MAIL COSTS,CORREIOS - SEDEX CONVENCIONAL COM AR,,2016-06-01T11:32:29.060,68.97,Partido Progressista,Progressive Party,11.0,16-11-95,1436720.0,Liberal conservatism,Populism,,,Centreright
99392,EDUARDO DA FONTE,PE,PP,FLIGHT TICKET,Cia Aérea - TAM,2012862000160.0,2016-05-20T00:00:00,62.3,Partido Progressista,Progressive Party,11.0,16-11-95,1436720.0,Liberal conservatism,Populism,,,Centreright
3219,MARCOS SOARES,RJ,DEM,MAIL COSTS,CORREIOS - SEDEX CONVENCIONAL,,2016-11-23T10:11:41.190,32.7,Democratas,Democrats,25.0,11-09-86,1095712.0,Economic liberalism,Liberal conservatism,Christian democracy,,Rightwing
133782,BILAC PINTO,MG,PR,FUEL COSTS,PÃO DE AÇUCAR - CIA BRASILEIRA DE DISTRIBUIÇÃO,47508411114200.0,2016-08-29T00:00:00,100.0,Partido da República,Party of the Republic,22.0,19-12-06,796764.0,Nationalism,Liberal conservatism,,,Centreright
132658,BILAC PINTO,MG,PR,PHONE COSTS,TELEMAR NORTE LESTE S/A,33000118000300.0,2016-07-15T00:00:00,994.1,Partido da República,Party of the Republic,22.0,19-12-06,796764.0,Nationalism,Liberal conservatism,,,Centreright
265282,PAULO TEIXEIRA,SP,PT,FUEL COSTS,CASCOL COMBUSTÍVEIS PARA VEÍCULOS LTDA,306597006480.0,2016-01-14T00:00:00,100.0,Partido dos Trabalhadores,Workers' Party ,13.0,11-02-82,1589260.0,Democratic socialism,,,,Centreleft
30088,ANDRÉ FIGUEIREDO,CE,PDT,FLIGHT TICKET,Cia Aérea - TAM,2012862000160.0,2016-10-04T00:00:00,712.69,Partido Democrático Trabalhista,Democratic Labour Party,12.0,10-11-81,1248632.0,Democratic socialism,Populism,Labour movement,,Centreleft
164254,CELSO RUSSOMANNO,SP,PRB,FUEL COSTS,AUTO POSTO ITICAR,2731610000190.0,2016-06-29T00:00:00,60.0,Partido Republicano Brasileiro,Brazilian Republican Party,10.0,25-08-05,383684.0,Christian democracy,Social conservatism,,,Centreright
175996,HUGO LEAL,RJ,PSB,OFFICE MAINTENANCE,webmidia empreendimentos imobiliarios,2233643000100.0,2016-10-05T00:00:00,2064.45,Partido Socialista Brasileiro,Brazilian Socialist Party,40.0,01-07-88,644663.0,Social democracy,Democratic socialism,,,Centreleft
130755,ANDERSON FERREIRA,PE,PR,FLIGHT TICKET,Cia Aérea - TAM,2012862000160.0,2016-08-22T00:00:00,611.58,Partido da República,Party of the Republic,22.0,19-12-06,796764.0,Nationalism,Liberal conservatism,,,Centreright
227955,EDUARDO BARBOSA,MG,PSDB,FLIGHT TICKET,Cia Aérea - AZUL,9296295000160.0,2016-04-13T00:00:00,225.63,Partido da Social Democracia Brasileira,Brazilian Social Democracy Party,45.0,24-08-88,1443769.0,Social democracy,Social liberalism,Parliamentary system,Parliamentarism,Centreleft
4820,MARCOS SOARES,RJ,DEM,FLIGHT TICKET,Cia Aérea - GOL,7575651000160.0,2016-03-22T00:00:00,42.0,Democratas,Democrats,25.0,11-09-86,1095712.0,Economic liberalism,Liberal conservatism,Christian democracy,,Rightwing
128746,JOSÉ CARLOS ARAÚJO,BA,PR,FLIGHT TICKET,Cia Aérea - TAM,2012862000160.0,2016-08-05T00:00:00,20.95,Partido da República,Party of the Republic,22.0,19-12-06,796764.0,Nationalism,Liberal conservatism,,,Centreright
204574,FÁBIO MITIDIERI,SE,PSD,"TAXI, PARKING AND TOLL COSTS",AGUINALDO K. TRENTIN,39300870904.0,2016-05-15T00:00:00,123.5,Partido Social Democrático,Social Democratic Party,55.0,27-09-11,311706.0,Centrism,Big tent politics,Syncretic politics,Economic liberalism,Centre/Centreright
113530,LUIS CARLOS HEINZE,RS,PP,MEAL COSTS,SENAC - LANCHONETE DO PLENÁRIO,33469172000700.0,2016-08-29T00:00:00,33.9,Partido Progressista,Progressive Party,11.0,16-11-95,1436720.0,Liberal conservatism,Populism,,,Centreright
299319,RUBENS OTONI,GO,PT,MAIL COSTS,CORREIOS - SEDEX CONVENCIONAL COM AR,,2016-08-08T12:26:01.083,40.53,Partido dos Trabalhadores,Workers' Party ,13.0,11-02-82,1589260.0,Democratic socialism,,,,Centreleft
256893,PEDRO UCZAI,SC,PT,MEAL COSTS,ANDRÉ LUIZ RIBOLI,9214985000120.0,2016-04-20T00:00:00,64.0,Partido dos Trabalhadores,Workers' Party ,13.0,11-02-82,1589260.0,Democratic socialism,,,,Centreleft
202874,RAQUEL MUNIZ,MG,PSD,MEAL COSTS,RESTAURANTE E LANCHES TORRE DE BELEM,42178467000200.0,2016-03-24T00:00:00,7.8,Partido Social Democrático,Social Democratic Party,55.0,27-09-11,311706.0,Centrism,Big tent politics,Syncretic politics,Economic liberalism,Centre/Centreright
65416,EDINHO BEZ,SC,PMDB,FLIGHT TICKET,Cia Aérea - TAM,2012862000160.0,2016-02-03T00:00:00,584.4,Partido do Movimento Democrático Brasileiro,Brazilian Democratic Movement Party ,15.0,30-06-81,2398324.0,Centrism,Populism,Big tent politics,Syncretic politics,Centre
208154,JOAQUIM PASSARINHO,PA,PSD,FUEL COSTS,Auto Shopping Derivados de Petroleo Ltda,37063328001300.0,2016-01-24T00:00:00,50.0,Partido Social Democrático,Social Democratic Party,55.0,27-09-11,311706.0,Centrism,Big tent politics,Syncretic politics,Economic liberalism,Centre/Centreright
255018,PEDRO UCZAI,SC,PT,FUEL COSTS,POSTO MILÃO LTDA,6010428000100.0,2016-12-03T00:00:00,105.09,Partido dos Trabalhadores,Workers' Party ,13.0,11-02-82,1589260.0,Democratic socialism,,,,Centreleft
110682,JULIO LOPES,RJ,PP,FLIGHT TICKET,Cia Aérea - GOL,7575651000160.0,2016-06-06T00:00:00,1344.63,Partido Progressista,Progressive Party,11.0,16-11-95,1436720.0,Liberal conservatism,Populism,,,Centreright
181272,ÁTILA LIRA,PI,PSB,OFFICE MAINTENANCE,ELETROBRÁS DISTRIBUICAO PIAUI,6840748000190.0,2016-05-24T00:00:00,112.1,Partido Socialista Brasileiro,Brazilian Socialist Party,40.0,01-07-88,644663.0,Social democracy,Democratic socialism,,,Centreleft
221097,BRUNO ARAÚJO,PE,PSDB,GROUND VEHICLE RENT,QUASAR LOCADORA DE VEÍCULOS LTDA,38024675000100.0,2016-05-12T00:00:00,1170.0,Partido da Social Democracia Brasileira,Brazilian Social Democracy Party,45.0,24-08-88,1443769.0,Social democracy,Social liberalism,Parliamentary system,Parliamentarism,Centreleft
46305,PASTOR LUCIANO BRAGA,BA,PMB,FLIGHT TICKET,Cia Aérea - AVIANCA,2575829000150.0,2016-07-07T00:00:00,80.0,Partido da Mulher Brasileira,Party of the Brazilian Women,35.0,29-09-15,27027.0,Women's rights,,,,Centreleft
38667,ERIVELTON SANTANA,BA,PEN,FUEL COSTS,COMERCIAL DE DERIVADOS DE PETROLEO SOUZA LTDA,14011712000100.0,2016-04-27T00:00:00,50.0,Partido Ecológico Nacional,National Ecologic Party,51.0,19-06-12,68687.0,Green conservatism, Humanism,,,Centreright
285970,ZÉ GERALDO,PA,PT,PHONE COSTS,CELULAR FUNCIONAL,,2016-02-22T00:00:00,93.45,Partido dos Trabalhadores,Workers' Party ,13.0,11-02-82,1589260.0,Democratic socialism,,,,Centreleft
387,JOSÉ CARLOS ALELUIA,BA,DEM,FLIGHT TICKET,Cia Aérea - TAM,2012862000160.0,2016-11-11T00:00:00,2.0,Democratas,Democrats,25.0,11-09-86,1095712.0,Economic liberalism,Liberal conservatism,Christian democracy,,Rightwing
47349,LEONARDO QUINTÃO,MG,PMDB,FLIGHT TICKET,Cia Aérea - TAM,2012862000160.0,2016-10-14T00:00:00,1277.72,Partido do Movimento Democrático Brasileiro,Brazilian Democratic Movement Party ,15.0,30-06-81,2398324.0,Centrism,Populism,Big tent politics,Syncretic politics,Centre
291624,MARCO MAIA,RS,PT,"TAXI, PARKING AND TOLL COSTS",EMPRESA CONCESSIONÁRIA DE RODOVIAS DO SUL S.A,2511048000190.0,2016-04-25T00:00:00,9.7,Partido dos Trabalhadores,Workers' Party ,13.0,11-02-82,1589260.0,Democratic socialism,,,,Centreleft
136937,GIACOBO,PR,PR,FUEL COSTS,POSTOS DAS AMERICAS,2331276000190.0,2016-05-12T00:00:00,148.8,Partido da República,Party of the Republic,22.0,19-12-06,796764.0,Nationalism,Liberal conservatism,,,Centreright
209648,ROGÉRIO ROSSO,DF,PSD,MEAL COSTS,CHURRASCARIA POTENCIA GRILL LTDA EPP,8466219000190.0,2016-04-13T00:00:00,121.5,Partido Social Democrático,Social Democratic Party,55.0,27-09-11,311706.0,Centrism,Big tent politics,Syncretic politics,Economic liberalism,Centre/Centreright
240464,ROGÉRIO MARINHO,RN,PSDB,OFFICE MAINTENANCE,COSERN,8324196000180.0,2016-03-11T00:00:00,59.83,Partido da Social Democracia Brasileira,Brazilian Social Democracy Party,45.0,24-08-88,1443769.0,Social democracy,Social liberalism,Parliamentary system,Parliamentarism,Centreleft
16850,JORGE TADEU MUDALEN,SP,DEM,"TAXI, PARKING AND TOLL COSTS",CONCESS. DA RODOVIA PRESIDENTE DUTRA S.A.,861626000192.0,2016-01-08T00:00:00,3.1,Democratas,Democrats,25.0,11-09-86,1095712.0,Economic liberalism,Liberal conservatism,Christian democracy,,Rightwing
327225,ALIEL MACHADO,PR,REDE,FLIGHT TICKET,Cia Aérea - GOL,7575651000160.0,2016-06-08T00:00:00,602.63,Rede Sustentabilidade,Sustainability Network,18.0,23-09-15,15606.0,Green politics ,Social democracy ,Third Way,,Centre to centreleft
312498,ANTÔNIO JÁCOME,RN,PTN,MEAL COSTS,CARAMELLA CONFEITARIA E CAFETERIA LTDA EPP,13472749000200.0,2016-02-02T00:00:00,40.5,Partido Trabalhista Nacional,National Labour Party ,19.0,02-10-97,158777.0,Labour movement,Populism,,,Centre
128560,JOSÉ CARLOS ARAÚJO,BA,PR,FLIGHT TICKET,Cia Aérea - TAM,2012862000160.0,2016-05-04T00:00:00,-83.1,Partido da República,Party of the Republic,22.0,19-12-06,796764.0,Nationalism,Liberal conservatism,,,Centreright
32946,FÉLIX MENDONÇA JÚNIOR,BA,PDT,MAIL COSTS,CORREIOS - TELEGRAMA,,2016-06-20T17:03:26.407,12.35,Partido Democrático Trabalhista,Democratic Labour Party,12.0,10-11-81,1248632.0,Democratic socialism,Populism,Labour movement,,Centreleft
175529,FABIO GARCIA,MT,PSB,"TAXI, PARKING AND TOLL COSTS",SINPETAXI DF,31708000100.0,2016-07-12T00:00:00,42.0,Partido Socialista Brasileiro,Brazilian Socialist Party,40.0,01-07-88,644663.0,Social democracy,Democratic socialism,,,Centreleft
203090,JAIME MARTINS,MG,PSD,DISSEMINATION OF PARLIAMENTARY ACTIVITY,AMANDA CRISTINA VIEIRA QUINTILIANO,19335374000200.0,2016-09-16T00:00:00,420.0,Partido Social Democrático,Social Democratic Party,55.0,27-09-11,311706.0,Centrism,Big tent politics,Syncretic politics,Economic liberalism,Centre/Centreright
267237,ANDRES SANCHEZ,SP,PT,PHONE COSTS,TELEFONICA BRASIL S.A. - VIVO,2558157000160.0,2016-08-24T00:00:00,407.87,Partido dos Trabalhadores,Workers' Party ,13.0,11-02-82,1589260.0,Democratic socialism,,,,Centreleft
18236,ALICE PORTUGAL,BA,PCdoB,FUEL COSTS,POSTO CHAME-CHAME COMER. E SERV. DE COMBUST. LTDA,645514000102.0,2016-09-04T00:00:00,161.12,Partido Comunista do Brasil,Communist Party of Brazil,65.0,23-06-68,389407.0,Communism,Marxism,Leninism,,Farleft
194946,PR. MARCO FELICIANO,SP,PSC,FLIGHT TICKET,Cia Aérea - AVIANCA,2575829000150.0,2016-03-17T00:00:00,80.0,Partido Social Cristão,Social Christian Party ,20.0,29-03-90,417221.0,Conservatism,,,,Rightwing
213663,MARCOS MONTES,MG,PSD,FUEL COSTS,POSTO BRASIL,25426164000100.0,2016-09-29T00:00:00,3389.87,Partido Social Democrático,Social Democratic Party,55.0,27-09-11,311706.0,Centrism,Big tent politics,Syncretic politics,Economic liberalism,Centre/Centreright
280414,MARGARIDA SALOMÃO,MG,PT,FLIGHT TICKET,Cia Aérea - AVIANCA,2575829000150.0,2016-03-17T00:00:00,335.0,Partido dos Trabalhadores,Workers' Party ,13.0,11-02-82,1589260.0,Democratic socialism,,,,Centreleft
306341,CRISTIANE BRASIL,RJ,PTB,FUEL COSTS,AUTO POSTO RUI BARBOSA LTDA,10418848000200.0,2016-11-27T00:00:00,50.0,Partido Trabalhista Brasileiro,Brazilian Labour Party ,14.0,03-11-81,1191746.0,Centrism,Populism,Federalism,Nationalism,Centre
327454,ALIEL MACHADO,PR,REDE,FLIGHT TICKET,Cia Aérea - AVIANCA,2575829000150.0,2016-05-19T00:00:00,235.73,Rede Sustentabilidade,Sustainability Network,18.0,23-09-15,15606.0,Green politics ,Social democracy ,Third Way,,Centre to centreleft
